user_id,pto_pred,target
573,3.4005983,4
574,3.1156406,11
575,5.1688457,4
576,4.700896,8
577,2.8323257,0
578,5.385723,8
579,7.790261,8
580,7.8646665,10
581,6.3239713,7
582,5.8074336,2
583,5.2961316,14
584,7.031408,7
585,5.2068863,11
586,6.392042,4
587,6.139844,6
588,4.0881324,4
589,6.394217,6
590,0.9430285,0
591,4.925593,1
592,3.865003,0
593,0.4702112,0
594,4.851725,6
595,6.6553226,9
596,6.9599223,11
597,4.7690063,6
598,4.7715936,11
599,4.8387427,6
600,7.8057837,11
601,6.0976005,3
602,3.4222596,0
603,5.220257,0
604,3.5381777,8
605,1.8689243,0
606,4.24959,6
607,1.4393317,0
608,5.431896,9
609,5.0211515,4
610,4.4081917,6
611,9.107321,8
612,2.5633843,2
613,5.8108416,9
614,7.223199,6
615,7.6757436,10
616,6.1722455,8
617,3.914226,6
618,2.637803,0
619,3.858509,5
620,8.252595,15
621,2.2235477,0
622,4.2584314,8
623,5.2117734,12
624,7.4631925,17
625,0.4702112,0
626,2.160642,0
627,5.802003,1
628,5.6858416,2
629,7.2185793,9
630,2.0458403,0
631,1.9430507,1
632,6.115574,2
633,3.6787639,0
634,5.600508,0
635,6.0162654,0
636,1.9430507,0
637,4.9809594,10
638,2.3878357,2
639,3.3651066,3
640,4.8876,10
641,4.313913,7
642,4.3670087,5
643,8.250826,2
644,4.3957896,1
645,4.2158713,1
646,6.798515,1
647,5.607386,12
648,4.3091016,6
649,5.462419,0
650,2.7064078,1
651,8.288242,7
652,0.4702112,0
653,6.8304896,11
654,5.2081246,4
655,6.0371537,9
656,0.38214314,0
657,5.1599417,8
658,6.2793465,12
659,1.6034632,0
660,4.8133554,8
661,10.220795,13
662,0.4702112,2
663,6.2864265,6
664,1.422806,0
665,7.376555,6
666,7.494099,12
667,6.2366953,2
668,4.5200925,10
669,2.6495826,4
670,6.575011,7
671,0.4702112,1
672,2.7856524,10
673,6.5157084,7
674,3.0645757,4
675,5.9708657,4
676,4.925224,3
677,4.8405,6
678,0.4702112,0
679,4.1924653,1
680,5.5720706,2
681,1.3405288,0
682,0.4702112,3
683,1.1706091,0
684,0.4702112,0
685,0.4702112,0
686,6.427077,3
687,2.494831,10
688,0.4702112,4
689,4.0251274,9
690,5.266417,3
691,4.6098957,13
692,1.9186466,0
693,5.4822745,12
694,2.8791783,3
695,3.2696936,0
696,2.2657554,0
697,7.8621054,10
698,7.2614384,10
699,2.8928971,3
700,3.1707191,2
701,9.152816,14
702,8.122873,8
703,3.0108569,4
704,0.7067969,0
705,4.020674,1
706,4.2683425,0
707,5.224023,4
708,7.4006076,12
709,7.077124,2
710,6.4696565,11
711,6.416969,2
712,4.1343694,5
713,0.4702112,5
714,5.6728477,12
715,4.04404,2
716,9.358057,8
717,5.1399026,5
718,4.464172,5
719,5.4379573,5
720,5.041514,2
721,7.4819837,11
722,0.4702112,0
723,0.4702112,0
724,4.4154487,3
725,4.996653,0
726,5.0162234,5
727,3.5287478,6
728,0.973535,0
729,3.851261,4
730,7.727166,15
731,3.6742728,0
732,6.5655513,4
733,2.6495826,8
734,7.2098727,7
735,4.9147925,2
736,4.7409644,6
737,4.670254,4
738,7.3669686,3
739,5.1061916,3
740,0.4702112,0
741,6.4841695,13
742,1.1261456,2
743,1.5208265,0
744,0.4702112,0
745,4.56542,1
746,4.937295,4
747,2.0860138,0
748,3.677851,4
749,5.031702,1
750,3.7178957,4
751,6.9129686,9
752,2.9790237,3
753,4.669355,7
754,6.4504366,8
755,0.4702112,0
756,4.4236727,6
757,7.243115,12
758,5.4496946,9
759,3.5976124,14
760,7.6879544,9
761,3.9691796,22
762,5.4792113,0
763,4.688145,3
764,3.3978302,3
765,4.8250084,1
766,7.416631,3
767,5.5335965,7
768,1.5704701,1
769,2.3581772,15
770,4.630583,0
771,4.520666,4
772,4.623889,5
773,8.63544,13
774,5.455252,14
775,4.9202514,2
776,4.0721154,0
777,5.313273,5
778,2.3878357,1
779,4.578453,8
780,3.0861275,4
781,6.0907598,9
782,4.6310325,6
783,5.503943,3
784,7.3452773,5
785,4.3320193,7
786,5.8988557,6
787,3.9177816,0
788,6.7072177,10
789,5.020972,5
790,0.8643825,0
791,3.4736445,0
792,7.5626564,11
793,1.5111475,0
794,0.4702112,0
795,5.9596925,2
796,0.4702112,0
797,4.707805,7
798,4.6324234,9
799,3.1672707,6
800,7.161216,1
801,2.4092536,1
802,7.6453705,12
803,1.1301512,0
804,0.4702112,0
805,10.964568,6
806,7.6010556,3
807,0.7848078,0
808,7.033296,11
809,4.675265,7
810,6.645419,6
811,4.7328973,2
812,5.775351,0
813,7.0481358,9
814,0.4702112,0
815,6.662845,14
816,7.395141,10
817,7.0354943,6
818,6.2295446,9
819,1.1135328,1
820,7.1365123,7
821,3.3373358,1
822,4.2315364,4
823,2.3878357,0
824,0.4702112,0
825,5.6252623,9
826,5.2615175,4
827,4.689891,11
828,6.3243823,0
829,3.351772,4
830,1.0280287,0
831,4.3770657,6
832,2.0303364,0
833,6.2213583,7
834,7.577413,5
835,2.2348254,5
836,3.0331526,8
837,3.4465039,0
838,3.0727131,6
839,6.309244,11
840,3.6666005,1
841,3.4010367,0
842,4.1483994,7
843,7.72636,0
844,4.084868,8
845,5.554336,4
846,5.412498,0
847,5.4509263,4
848,2.8787575,2
849,6.2166295,12
850,8.671285,11
851,2.5902886,0
852,5.570632,11
853,6.573813,10
854,3.6688936,0
855,2.3878357,0
856,4.6401877,0
